model,metric,estimate,lower,upper,resamples_requested,resamples_succeeded,seed,uncertainty_scope,population
Observation design,roc_auc,0.5429982517482518,0.37069020640264944,0.6061191764437563,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,average_precision,0.18507947406433492,0.10850194992195564,0.2407600229013277,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,top_recruitment_fraction,0.15476190476190477,0.075034435261708,0.23428105221518986,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,top_no_new_tally_fraction,0.8452380952380952,0.7657189477848101,0.924965564738292,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,top_event_capture_fraction,0.26,0.12837912087912087,0.39420492721164613,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Observation design,top_events,26,9,46,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,brier_score,0.11976357957118025,0.10675916530370633,0.13927282680613132,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,log_loss,0.38989754096267587,0.35775150151280877,0.44442214081387044,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,roc_auc,0.6993269230769231,0.6185564855437284,0.7460646023976303,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
Seedling count and design,average_precision,0.2622979741599392,0.1959619268342656,0.31924396373875097,300,300,20260908,"County-cluster percentile bootstrap with training scaling and all cross-validation fits repeated; fixed original county-fold assignment, fixed model set and lambda; excludes model-choice and snapshot-selection uncertainty",Baseline seedlings detected
